image, manual_count
1021 126
1022 125
1031 95
1032 116
1041 119
1042 119
1071 109
1073 130
1081 134
1082 143
1091 110
1092 110
1111 102
1112 98
1131 179
1132 187
1141 132
1142 131
1151 208
1152 178
1171 156
1172 142
1181 138
1182 160
1191 97
1192 82
1201 106
1202 100
2011 186
2012 181
2033 127
2041 106
2061 113
2062 102
2081 138
2082 123
2091 137
2092 123
2121 164
2122 175
2131 116
2132 127
2141 210
2142 199
2151 112
2152 117
2163 113
2171 105
2172 122
2181 96
2182 94
2191 139
2192 97
3011 92
3012 101
3021 166
3022 131
3031 110
3032 108
3041 136
3042 134
3051 114
3052 123
3061 196
3062 176
3081 115
3082 115
3091 114
3092 100
3111 112
3112 223
3121 112
3122 110
3132 146
3133 151
3141 99
3142 103
3171 130
3172 134
3181 153
3182 145
4011 224
4012 218
4031 115
4032 160
4041 137
4042 147
4051 100
4052 91
4061 115
4062 152
4071 121
4072 110
4091 110
4092 110
4101 103
4102 125
4111 123
4112 95
4141 121
4142 133
4151 128
4152 103
4153 114
4161 139
4162 129
4181 90
4182 98
4201 170
4202 219
5011 126
5012 130
5021 108
5022 129
5031 112
5032 127
5041 112
5042 115
5052 101
5071 190
5072 194
5081 186
5082 215
5101 133
5102 131
5111 132
5112 146
5131 110
5132 109
5151 105
5152 93
5161 148
5162 137
5191 175
5192 149
5201 120
5202 131
6031 129
6032 132
6041 131
6042 146
6071 96
6072 100
6081 151
6082 153
6091 103
6092 115
6101 113
6102 133
6111 130
6112 123
6121 191
6122 204
6141 130
6142 129
6151 127
6152 120
6171 202
6172 245
6181 139
6182 138
6191 181
6192 192
6201 130
6202 135
